indice_tiempo,total_sector_privado,caba,provincia_buenos_aires,catamarca,cordoba,corrientes,chaco,chubut,entre_rios,formosa,jujuy,la_pampa,la_rioja,mendoza,misiones,neuquen,rio_negro,salta,san_juan,san_luis,santa_cruz,santa_fe,santiago_estero,tierra_fuego,tucuman,sin_clasificar
2006-01-01,1542.0,1955.0,1494.0,1264.0,1261.0,1123.0,1046.0,2078.0,1116.0,1047.0,1043.0,1154.0,1137.0,1166.0,1100.0,2135.0,1343.0,1117.0,1200.0,1388.0,2384.0,1328.0,1000.0,2250.0,1126.0,1281.0
2006-04-01,1793.0,2189.0,1763.0,1443.0,1486.0,1324.0,1245.0,2596.0,1316.0,1213.0,1327.0,1382.0,1376.0,1406.0,1282.0,2572.0,1570.0,1408.0,1410.0,1677.0,3000.0,1552.0,1186.0,2655.0,1243.0,1495.0
2006-07-01,1640.0,1972.0,1606.0,1388.0,1368.0,1203.0,1137.0,2451.0,1212.0,1127.0,1287.0,1257.0,1326.0,1306.0,1191.0,2343.0,1472.0,1297.0,1317.0,1534.0,2840.0,1445.0,1084.0,2503.0,1182.0,1412.0
2006-10-01,1955.0,2360.0,1907.0,1656.0,1650.0,1450.0,1369.0,2795.0,1427.0,1387.0,1512.0,1492.0,1608.0,1546.0,1465.0,2791.0,1721.0,1482.0,1588.0,1856.0,3047.0,1724.0,1298.0,2930.0,1420.0,1716.0
2007-01-01,1844.0,2309.0,1774.0,1515.0,1509.0,1324.0,1242.0,2641.0,1357.0,1233.0,1299.0,1379.0,1353.0,1414.0,1338.0,2615.0,1646.0,1341.0,1441.0,1644.0,2983.0,1609.0,1192.0,2560.0,1333.0,1541.0
2007-04-01,2143.0,2564.0,2102.0,1698.0,1796.0,1552.0,1475.0,3191.0,1594.0,1485.0,1641.0,1613.0,1682.0,1703.0,1569.0,3078.0,1932.0,1669.0,1702.0,2030.0,3763.0,1915.0,1435.0,3186.0,1475.0,1791.0
2007-07-01,1984.0,2366.0,1919.0,1660.0,1658.0,1435.0,1375.0,3067.0,1474.0,1405.0,1619.0,1539.0,1562.0,1598.0,1456.0,3081.0,1843.0,1541.0,1598.0,1836.0,3517.0,1773.0,1323.0,3091.0,1389.0,1752.0
2007-10-01,2409.0,2852.0,2342.0,2085.0,2053.0,1797.0,1702.0,3636.0,1781.0,1698.0,1881.0,1915.0,1983.0,1923.0,1799.0,3634.0,2199.0,1827.0,1989.0,2262.0,4130.0,2178.0,1632.0,3903.0,1651.0,2136.0
2008-01-01,2307.0,2841.0,2226.0,1893.0,1908.0,1669.0,1582.0,3383.0,1746.0,1578.0,1646.0,1804.0,1655.0,1807.0,1666.0,3433.0,2071.0,1693.0,1802.0,2093.0,3877.0,2057.0,1513.0,3332.0,1586.0,1914.0
2008-04-01,2771.0,3281.0,2716.0,2182.0,2321.0,2037.0,1904.0,4330.0,2099.0,1965.0,2149.0,2221.0,2089.0,2215.0,1981.0,4325.0,2571.0,2178.0,2200.0,2572.0,5150.0,2493.0,1860.0,4237.0,1837.0,2257.0
2008-07-01,2605.0,3045.0,2536.0,2155.0,2192.0,1912.0,1805.0,4149.0,1969.0,1880.0,2070.0,2143.0,2020.0,2149.0,1869.0,4215.0,2479.0,2026.0,2095.0,2423.0,4997.0,2358.0,1752.0,4219.0,1759.0,2270.0
2008-10-01,3156.0,3695.0,3094.0,2720.0,2665.0,2326.0,2185.0,5299.0,2299.0,2308.0,2402.0,2550.0,2540.0,2533.0,2294.0,4820.0,2873.0,2361.0,2506.0,2964.0,5714.0,2835.0,2096.0,5199.0,2127.0,2813.0
2009-01-01,2896.0,3566.0,2790.0,2359.0,2387.0,2113.0,1922.0,4545.0,2175.0,2019.0,2052.0,2310.0,2068.0,2240.0,2054.0,4334.0,2598.0,2102.0,2244.0,2605.0,5169.0,2559.0,1880.0,4292.0,1986.0,2416.0
2009-04-01,3374.0,4048.0,3280.0,2687.0,2868.0,2477.0,2308.0,5297.0,2552.0,2451.0,2598.0,2757.0,2471.0,2703.0,2388.0,5131.0,3115.0,2629.0,2640.0,3093.0,6314.0,3031.0,2247.0,5205.0,2234.0,2802.0
2009-07-01,3085.0,3658.0,3005.0,2509.0,2574.0,2202.0,2075.0,5274.0,2309.0,2178.0,2446.0,2467.0,2333.0,2488.0,2160.0,4897.0,2864.0,2395.0,2432.0,2834.0,6211.0,2771.0,2046.0,4877.0,2061.0,2635.0
2009-10-01,3697.0,4349.0,3632.0,3100.0,3144.0,2669.0,2550.0,6160.0,2659.0,2620.0,2820.0,2972.0,2926.0,2976.0,2754.0,5816.0,3347.0,2756.0,2870.0,3477.0,6925.0,3336.0,2464.0,6112.0,2473.0,3123.0
2010-01-01,3508.0,4284.0,3388.0,2704.0,2922.0,2477.0,2444.0,5715.0,2641.0,2473.0,2501.0,2825.0,2387.0,2745.0,2470.0,5358.0,3124.0,2596.0,2682.0,3171.0,6424.0,3147.0,2310.0,5277.0,2455.0,2806.0
2010-04-01,4188.0,4924.0,4098.0,3228.0,3544.0,2968.0,3007.0,7044.0,3203.0,2961.0,3327.0,3462.0,3032.0,3420.0,2967.0,6678.0,3799.0,3240.0,3288.0,3959.0,8028.0,3837.0,2767.0,6656.0,2854.0,
2010-07-01,3934.0,4558.0,3864.0,3279.0,3337.0,2813.0,2912.0,6645.0,3018.0,2794.0,3123.0,3287.0,2994.0,3225.0,2812.0,6229.0,3690.0,3010.0,3089.0,3717.0,7827.0,3583.0,2632.0,6711.0,2731.0,
2010-10-01,4839.0,5639.0,4744.0,4149.0,4152.0,3539.0,3585.0,7881.0,3619.0,3431.0,3754.0,4078.0,3838.0,3921.0,3569.0,7572.0,4386.0,3596.0,3787.0,4560.0,8975.0,4414.0,3232.0,8610.0,3384.0,
2011-01-01,4625.0,5559.0,4505.0,3594.0,3898.0,3277.0,3320.0,7488.0,3542.0,3207.0,3352.0,3830.0,3160.0,3628.0,3375.0,7099.0,4107.0,3341.0,3654.0,4209.0,8515.0,4201.0,3030.0,7295.0,3282.0,
2011-04-01,5554.0,6423.0,5466.0,4205.0,4729.0,4007.0,4060.0,9504.0,4258.0,3934.0,4472.0,4564.0,3958.0,4524.0,3927.0,9356.0,5159.0,4146.0,4531.0,5200.0,11085.0,5076.0,3759.0,9109.0,3819.0,
2011-07-01,5183.0,5965.0,5062.0,4415.0,4441.0,3734.0,3932.0,9022.0,3962.0,3745.0,4304.0,4309.0,3906.0,4310.0,3697.0,8289.0,4878.0,3880.0,4339.0,4843.0,10419.0,4736.0,3571.0,9072.0,3688.0,
2011-10-01,6357.0,7260.0,6281.0,5542.0,5469.0,4630.0,4755.0,10728.0,4752.0,4678.0,5205.0,5375.0,5031.0,5182.0,4647.0,10023.0,5953.0,4672.0,5390.0,6096.0,12100.0,5801.0,4320.0,11662.0,4511.0,
2012-01-01,6059.0,7207.0,5918.0,5063.0,5113.0,4369.0,4480.0,9828.0,4615.0,4254.0,4524.0,5118.0,4333.0,4842.0,4285.0,9247.0,5370.0,4382.0,5418.0,5627.0,10881.0,5498.0,4052.0,9717.0,4364.0,
2012-04-01,7225.0,8347.0,7089.0,6399.0,6248.0,5332.0,5430.0,11676.0,5586.0,5248.0,5850.0,6077.0,5446.0,5970.0,5115.0,11261.0,6769.0,5440.0,6713.0,6742.0,13499.0,6630.0,4909.0,11720.0,5061.0,
2012-07-01,6703.0,7662.0,6542.0,5869.0,5725.0,4971.0,5149.0,11204.0,5169.0,5029.0,5491.0,5726.0,5330.0,5771.0,4863.0,10449.0,6480.0,5032.0,6459.0,6295.0,13095.0,6096.0,4677.0,12047.0,4753.0,
2012-10-01,8169.0,9251.0,7965.0,7305.0,7127.0,6194.0,6229.0,13430.0,6160.0,6061.0,6524.0,7000.0,6777.0,6925.0,6477.0,12905.0,7722.0,6043.0,7694.0,7810.0,15411.0,7457.0,5657.0,15640.0,5952.0,
2013-01-01,7722.0,9171.0,7471.0,6433.0,6618.0,5680.0,5721.0,12314.0,5924.0,5554.0,5864.0,6481.0,5342.0,6128.0,5551.0,11950.0,6945.0,5653.0,7464.0,7252.0,14364.0,6988.0,5210.0,12118.0,5638.0,
2013-04-01,9168.0,10589.0,8946.0,7556.0,7948.0,6878.0,6896.0,14869.0,7102.0,6801.0,7342.0,7799.0,6801.0,7466.0,6468.0,14871.0,8735.0,6926.0,9091.0,8708.0,17430.0,8428.0,6174.0,14587.0,6398.0,
