indice_tiempo,tipo_cambio_bna_vendedor,tipo_cambio_mae
2018-01-01,18.9,18.649
2018-01-02,18.65,18.41
2018-01-03,18.7,18.445
2018-01-04,18.9,18.63
2018-01-05,19.1,18.903
2018-01-06,19.1,18.903
2018-01-07,19.1,18.903
2018-01-08,19.3,19.03
2018-01-09,19.2,18.94
2018-01-10,18.85,18.62
2018-01-11,18.95,18.71
2018-01-12,18.95,18.69
2018-01-13,18.95,18.69
2018-01-14,18.95,18.69
2018-01-15,19.0,18.69
2018-01-16,19.15,18.9
2018-01-17,19.1,18.85
2018-01-18,19.1,18.87
2018-01-19,19.25,18.995
2018-01-20,19.25,18.995
2018-01-21,19.25,18.995
2018-01-22,19.35,19.146
2018-01-23,19.6,19.335
2018-01-24,19.9,19.68
2018-01-25,19.8,19.56
2018-01-26,19.8,19.57
2018-01-27,19.8,19.57
2018-01-28,19.8,19.57
2018-01-29,19.8,19.58
2018-01-30,19.85,19.635
2018-01-31,19.9,19.65
2018-02-01,19.65,19.38
2018-02-02,19.75,19.5
2018-02-03,19.75,19.5
2018-02-04,19.75,19.5
2018-02-05,19.75,19.47
2018-02-06,19.85,19.56
2018-02-07,19.9,19.695
2018-02-08,20.2,19.97
2018-02-09,20.25,19.98
2018-02-10,20.25,19.98
2018-02-11,20.25,19.98
2018-02-12,20.25,19.98
2018-02-13,20.25,19.98
2018-02-14,20.15,19.9
2018-02-15,19.95,19.66
2018-02-16,20.0,19.76
2018-02-17,20.0,19.76
2018-02-18,20.0,19.76
2018-02-19,20.15,19.76
2018-02-20,20.1,19.85
2018-02-21,20.15,19.925
2018-02-22,20.2,19.95
2018-02-23,20.2,19.98
2018-02-24,20.2,19.98
2018-02-25,20.2,19.98
2018-02-26,20.45,20.19
2018-02-27,20.45,20.28
2018-02-28,20.35,20.11
2018-03-01,20.4,20.151
2018-03-02,20.5,20.29
2018-03-03,20.5,20.29
2018-03-04,20.5,20.29
2018-03-05,20.45,20.22
2018-03-06,20.6,20.34
2018-03-07,20.65,20.41
2018-03-08,20.65,20.36
2018-03-09,20.5,20.24
2018-03-10,20.5,20.24
2018-03-11,20.5,20.24
2018-03-12,20.45,20.2
2018-03-13,20.45,20.22
2018-03-14,20.45,20.24
2018-03-15,20.6,20.345
2018-03-16,20.45,20.19
2018-03-17,20.45,20.19
2018-03-18,20.45,20.19
2018-03-19,20.45,20.2
2018-03-20,20.5,20.265
2018-03-21,20.55,20.27
2018-03-22,20.5,20.225
2018-03-23,20.45,20.19
2018-03-24,20.45,20.19
2018-03-25,20.45,20.19
2018-03-26,20.4,20.19
2018-03-27,20.45,20.168
2018-03-28,20.4,20.149
2018-03-29,20.4,20.149
2018-03-30,20.4,20.149
2018-03-31,20.4,20.149
2018-04-01,20.4,20.149
2018-04-02,20.4,20.149
2018-04-03,20.4,20.18
2018-04-04,20.45,20.18
2018-04-05,20.45,20.2
2018-04-06,20.45,20.18
2018-04-07,20.45,20.18
2018-04-08,20.45,20.18
2018-04-09,20.45,20.19
2018-04-10,20.45,20.164
2018-04-11,20.4,20.168
2018-04-12,20.45,20.21
2018-04-13,20.45,20.22
2018-04-14,20.45,20.22
2018-04-15,20.45,20.22
2018-04-16,20.45,20.22
2018-04-17,20.45,20.180999999999997
2018-04-18,20.45,20.135
2018-04-19,20.4,20.16
2018-04-20,20.45,20.19
2018-04-21,20.45,20.19
2018-04-22,20.45,20.19
2018-04-23,20.5,20.26
2018-04-24,20.5,20.26
2018-04-25,20.5,20.252
2018-04-26,20.8,20.55
2018-04-27,20.8,20.535
2018-04-28,20.8,20.535
2018-04-29,20.8,20.535
2018-04-30,20.8,20.535
2018-05-01,20.8,20.535
2018-05-02,21.45,21.2
2018-05-03,23.3,23.0
2018-05-04,22.2,21.8
2018-05-05,22.2,21.8
2018-05-06,22.2,21.8
2018-05-07,22.3,21.969
2018-05-08,22.8,22.4
2018-05-09,23.1,22.73
2018-05-10,23.1,22.71
2018-05-11,23.7,23.26
2018-05-12,23.7,23.26
2018-05-13,23.7,23.26
2018-05-14,25.3,24.99
2018-05-15,24.5,24.05
2018-05-16,24.8,24.29
2018-05-17,24.8,24.32
2018-05-18,24.9,24.43
2018-05-19,24.9,24.43
2018-05-20,24.9,24.43
2018-05-21,24.8,24.389
2018-05-22,24.8,24.32
2018-05-23,25.0,24.475
2018-05-24,25.1,24.6
2018-05-25,25.1,24.6
2018-05-26,25.1,24.6
2018-05-27,25.1,24.6
2018-05-28,25.2,24.6
2018-05-29,25.4,24.84
2018-05-30,25.4,24.93
2018-05-31,25.4,24.96
2018-06-01,25.4,24.98
2018-06-02,25.4,24.98
2018-06-03,25.4,24.98
2018-06-04,25.4,24.97
2018-06-05,25.4,24.96
2018-06-06,25.4,24.9
2018-06-07,25.4,24.985
2018-06-08,25.8,25.31
2018-06-09,25.8,25.31
2018-06-10,25.8,25.31
2018-06-11,26.5,26.0
2018-06-12,26.3,25.75
2018-06-13,26.5,26.000999999999998
2018-06-14,28.2,27.7
2018-06-15,28.8,28.1
2018-06-16,28.8,28.1
2018-06-17,28.8,28.1
2018-06-18,28.5,27.58
2018-06-19,28.2,27.78
2018-06-20,28.2,27.78
2018-06-21,27.9,27.5
2018-06-22,27.6,27.01
2018-06-23,27.6,27.01
2018-06-24,27.6,27.01
2018-06-25,27.5,27.07
2018-06-26,27.6,27.1
2018-06-27,27.9,27.44
2018-06-28,28.6,28.12
2018-06-29,29.4,28.85
2018-06-30,29.4,28.85
2018-07-01,29.4,28.85
2018-07-02,28.8,28.3
2018-07-03,28.3,27.8
2018-07-04,28.6,27.8
2018-07-05,28.5,28.05
2018-07-06,28.6,27.9
2018-07-07,28.6,27.9
2018-07-08,28.6,27.9
2018-07-09,28.6,27.9
2018-07-10,28.6,27.37
2018-07-11,28.6,27.39
2018-07-12,28.6,27.23
2018-07-13,28.6,27.21
2018-07-14,28.6,27.21
2018-07-15,28.6,27.21
2018-07-16,28.6,27.36
2018-07-17,28.6,27.55
2018-07-18,28.6,27.598000000000003
2018-07-19,28.6,27.75
2018-07-20,28.6,27.58
2018-07-21,28.6,27.58
2018-07-22,28.6,27.58
2018-07-23,28.6,27.62
2018-07-24,28.6,27.48
2018-07-25,28.6,27.39
2018-07-26,28.6,27.41
2018-07-27,28.6,27.325
2018-07-28,28.6,27.325
2018-07-29,28.6,27.325
2018-07-30,28.6,27.255
2018-07-31,28.6,27.41
2018-08-01,28.6,27.525
2018-08-02,28.6,27.45
2018-08-03,28.6,27.29
2018-08-04,28.6,27.29
2018-08-05,28.6,27.29
2018-08-06,28.6,27.33
2018-08-07,28.6,27.395
2018-08-08,28.1,27.65
2018-08-09,28.6,28.11
2018-08-10,29.7,29.25
2018-08-11,29.7,29.25
2018-08-12,29.7,29.25
2018-08-13,30.5,29.925
2018-08-14,30.1,29.61
2018-08-15,30.5,30.0
2018-08-16,30.3,29.8
2018-08-17,30.3,29.85
2018-08-18,30.3,29.85
2018-08-19,30.3,29.85
2018-08-20,30.3,29.85
2018-08-21,30.5,30.0
2018-08-22,30.7,30.25
2018-08-23,31.0,30.49
2018-08-24,31.4,30.9
2018-08-25,31.4,30.9
2018-08-26,31.4,30.9
2018-08-27,31.4,30.97
2018-08-28,31.9,31.35
2018-08-29,34.5,33.8
2018-08-30,38.2,37.6
2018-08-31,37.4,36.85
2018-09-01,37.4,36.85
2018-09-02,37.4,36.85
2018-09-03,38.0,36.85
2018-09-04,39.5,38.88
2018-09-05,39.0,38.4
2018-09-06,38.0,37.35
2018-09-07,37.6,36.99
2018-09-08,37.6,36.99
2018-09-09,37.6,36.99
2018-09-10,37.6,37.38
2018-09-11,38.5,37.941
2018-09-12,38.8,38.25
2018-09-13,40.1,39.55
2018-09-14,40.4,39.86
2018-09-15,40.4,39.86
2018-09-16,40.4,39.86
2018-09-17,40.2,39.53
2018-09-18,40.3,39.731
2018-09-19,39.8,39.21
2018-09-20,38.8,38.2
2018-09-21,37.8,37.15
2018-09-22,37.8,37.15
2018-09-23,37.8,37.15
2018-09-24,37.9,37.3
2018-09-25,38.7,38.1
2018-09-26,39.2,38.51
2018-09-27,40.6,39.7
2018-09-28,42.1,41.25
2018-09-29,42.1,41.25
2018-09-30,42.1,41.25
2018-10-01,40.5,39.55
2018-10-02,39.0,38.1
2018-10-03,38.6,37.69
2018-10-04,39.2,38.3
2018-10-05,38.7,37.84
2018-10-06,38.7,37.84
2018-10-07,38.7,37.84
2018-10-08,38.4,37.84
2018-10-09,38.0,37.12
2018-10-10,38.0,37.25
2018-10-11,37.5,36.57
2018-10-12,37.6,36.75
2018-10-13,37.6,36.75
2018-10-14,37.6,36.75
2018-10-15,37.6,36.75
2018-10-16,36.9,36.0
2018-10-17,37.1,36.18
2018-10-18,37.5,36.65
2018-10-19,37.5,36.54
2018-10-20,37.5,36.54
2018-10-21,37.5,36.54
2018-10-22,37.3,36.46
2018-10-23,37.5,36.59
2018-10-24,37.9,37.0
2018-10-25,37.7,36.79
2018-10-26,37.8,36.84
2018-10-27,37.8,36.84
2018-10-28,37.8,36.84
2018-10-29,37.8,36.9
2018-10-30,37.6,36.715
2018-10-31,36.8,35.95
2018-11-01,36.6,35.67
2018-11-02,36.4,35.49
2018-11-03,36.4,35.49
2018-11-04,36.4,35.49
2018-11-05,36.4,35.65
2018-11-06,36.4,35.65
2018-11-07,36.6,35.67
2018-11-08,36.4,35.5
2018-11-09,36.4,35.38
2018-11-10,36.4,35.38
2018-11-11,36.4,35.38
2018-11-12,36.4,35.38
2018-11-13,36.9,36.05
2018-11-14,36.9,35.9
2018-11-15,36.9,36.05
2018-11-16,36.9,35.93
2018-11-17,36.9,35.93
2018-11-18,36.9,35.93
2018-11-19,36.9,35.93
2018-11-20,37.1,36.18
2018-11-21,37.1,36.255
2018-11-22,37.4,36.255
2018-11-23,38.5,37.5
2018-11-24,38.5,37.5
2018-11-25,38.5,37.5
2018-11-26,39.9,39.05
2018-11-27,39.5,38.55
2018-11-28,39.4,38.46
2018-11-29,38.6,37.72
2018-11-30,38.6,37.72
2018-12-01,38.6,37.72
2018-12-02,38.6,37.72
2018-12-03,37.4,36.5
2018-12-04,38.3,37.4
2018-12-05,38.4,37.45
2018-12-06,38.6,37.7
2018-12-07,38.3,37.4
2018-12-08,38.3,37.4
2018-12-09,38.3,37.4
2018-12-10,38.6,37.66
2018-12-11,38.7,37.8
2018-12-12,38.5,37.59
2018-12-13,38.7,37.83
2018-12-14,39.0,38.073
2018-12-15,39.0,38.073
2018-12-16,39.0,38.073
2018-12-17,39.1,38.26
2018-12-18,39.1,38.26
2018-12-19,39.2,38.37
2018-12-20,39.0,38.05
2018-12-21,38.9,37.975
2018-12-22,38.9,37.975
2018-12-23,38.9,37.975
2018-12-24,38.9,37.975
2018-12-25,38.9,37.975
2018-12-26,39.5,38.6
2018-12-27,39.3,38.3
2018-12-28,38.6,37.7
2018-12-29,38.6,37.7
2018-12-30,38.6,37.7
2018-12-31,38.6,37.7
2019-01-01,38.6,37.7
2019-01-02,38.6,37.65
2019-01-03,38.4,37.45
2019-01-04,38.3,37.37
2019-01-05,38.3,37.37
2019-01-06,38.3,37.37
2019-01-07,38.3,37.305
2019-01-08,38.5,37.6
2019-01-09,38.3,37.37
2019-01-10,38.0,37.08
2019-01-11,37.8,36.9
2019-01-12,37.8,36.9
2019-01-13,37.8,36.9
2019-01-14,37.9,37.0
2019-01-15,38.0,37.1
2019-01-16,38.4,37.5
2019-01-17,38.6,37.71
2019-01-18,38.5,37.58
2019-01-19,38.5,37.58
2019-01-20,38.5,37.58
2019-01-21,38.6,37.58
2019-01-22,38.4,37.53
2019-01-23,38.4,37.56
2019-01-24,38.3,37.4
2019-01-25,38.0,37.03
2019-01-26,38.0,37.03
2019-01-27,38.0,37.03
2019-01-28,38.0,37.15
2019-01-29,38.0,37.7
2019-01-30,38.4,37.51
2019-01-31,38.2,37.35
2019-02-01,38.1,37.17
2019-02-02,38.1,37.17
2019-02-03,38.1,37.17
2019-02-04,38.1,37.19
2019-02-05,38.1,37.2
2019-02-06,38.4,37.52
2019-02-07,38.7,37.82
2019-02-08,38.7,37.85
2019-02-09,38.7,37.85
2019-02-10,38.7,37.85
2019-02-11,38.8,37.91
2019-02-12,38.9,37.99
2019-02-13,39.1,38.22
2019-02-14,39.1,38.22
2019-02-15,39.5,38.62
2019-02-16,39.5,38.62
2019-02-17,39.5,38.62
2019-02-18,39.7,38.62
2019-02-19,40.2,39.27
2019-02-20,40.6,39.67
2019-02-21,40.6,39.53
2019-02-22,40.1,39.22
2019-02-23,40.1,39.22
2019-02-24,40.1,39.22
2019-02-25,39.9,39.049
2019-02-26,39.8,38.87
2019-02-27,39.7,38.82
2019-02-28,40.1,39.15
2019-03-01,40.7,39.81
2019-03-02,40.7,39.81
2019-03-03,40.7,39.81
2019-03-04,40.7,39.81
2019-03-05,40.7,39.81
2019-03-06,41.6,40.75
2019-03-07,43.5,42.5
2019-03-08,42.2,41.2
2019-03-09,42.2,41.2
2019-03-10,42.2,41.2
2019-03-11,42.3,41.3
2019-03-12,42.5,41.5
2019-03-13,42.2,41.2
2019-03-14,41.8,40.77
2019-03-15,41.0,40.0
2019-03-16,41.0,40.0
2019-03-17,41.0,40.0
2019-03-18,41.0,40.05
2019-03-19,41.5,40.5
2019-03-20,41.8,40.85
2019-03-21,42.0,41.075
2019-03-22,42.8,41.8
2019-03-23,42.8,41.8
2019-03-24,42.8,41.8
2019-03-25,43.0,42.08
2019-03-26,43.6,42.64
2019-03-27,44.9,43.87
2019-03-28,44.6,43.63
2019-03-29,44.3,43.345
2019-03-30,44.3,43.345
2019-03-31,44.3,43.345
2019-04-01,43.7,42.715
2019-04-02,43.7,42.715
2019-04-03,43.9,42.87
2019-04-04,44.4,43.41
2019-04-05,44.9,43.93
2019-04-06,44.9,43.93
2019-04-07,44.9,43.93
2019-04-08,44.7,43.65
2019-04-09,44.5,43.35
2019-04-10,44.0,43.01
2019-04-11,43.8,42.75
2019-04-12,43.2,42.18
2019-04-13,43.2,42.18
2019-04-14,43.2,42.18
2019-04-15,43.2,41.62
2019-04-16,43.4,42.39
2019-04-17,42.9,41.9
2019-04-18,42.9,41.9
2019-04-19,42.9,41.9
2019-04-20,42.9,41.9
2019-04-21,42.9,41.9
2019-04-22,43.5,42.48
2019-04-23,43.4,42.4
2019-04-24,44.9,43.95
2019-04-25,45.9,44.905
2019-04-26,47.0,45.97
2019-04-27,47.0,45.97
2019-04-28,47.0,45.97
2019-04-29,45.3,44.325
2019-04-30,45.2,44.15
2019-05-01,45.2,44.15
2019-05-02,45.8,44.8
2019-05-03,45.4,44.44
2019-05-04,45.4,44.44
2019-05-05,45.4,44.44
2019-05-06,45.7,44.65
2019-05-07,46.3,45.33
2019-05-08,46.1,45.1
2019-05-09,46.3,45.25
2019-05-10,45.8,44.8
